STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997338,99999, 20050607,   76.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.3,24,  22.0, 999.9,   86.4*,  69.8*, 0.00I,999.9, 000000,
997338,99999, 20050608,   77.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.5,24,  23.9, 999.9,   81.0*,  72.3*, 0.00I,999.9, 000000,
997338,99999, 20050609,   74.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.3,24,  16.9, 999.9,   81.5*,  70.7*, 0.00I,999.9, 000000,
997338,99999, 20050610,   74.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.1,24,  15.9, 999.9,   85.1*,  65.3*, 0.00I,999.9, 000000,
997338,99999, 20050611,   75.5,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.7,23,  20.0, 999.9,   79.5*,  72.9*, 0.00I,999.9, 000000,
997338,99999, 20050612,   72.8,19, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.7,19,  19.0, 999.9,   76.5*,  68.5*, 0.00I,999.9, 000000,
997338,99999, 20050613,   71.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.0,24,  22.0, 999.9,   84.2*,  67.1*, 0.00I,999.9, 000000,
997338,99999, 20050614,   73.3,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  21.9,23,  33.0, 999.9,   84.0*,  65.5*, 0.00I,999.9, 000000,
997338,99999, 20050615,   66.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  18.5,24,  22.9, 999.9,   69.8*,  57.0*, 0.00I,999.9, 000000,
997338,99999, 20050616,   60.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.0,24,  15.9, 999.9,   64.9*,  56.1*, 0.00I,999.9, 000000,
997338,99999, 20050617,   59.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  12.2,24,  18.1, 999.9,   65.8*,  57.0*, 0.00I,999.9, 000000,
997338,99999, 20050618,   59.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.9,24,  14.0, 999.9,   61.2*,  56.7*, 0.00I,999.9, 000000,
997338,99999, 20050619,   61.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.9,24,   8.9, 999.9,   65.5*,  59.0*, 0.00I,999.9, 000000,
997338,99999, 20050620,   66.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.9,24,  14.0, 999.9,   72.1*,  62.8*, 0.00I,999.9, 000000,
997338,99999, 20050621,   71.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.3,24,  18.1, 999.9,   81.5*,  66.4*, 0.00I,999.9, 000000,
997338,99999, 20050622,   66.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.3,24,  12.0, 999.9,   67.8*,  65.1*, 0.00I,999.9, 000000,
997338,99999, 20050623,   72.9,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.6,23,  20.0, 999.9,   85.8*,  64.8*, 0.00I,999.9, 000000,
997338,99999, 20050624,   83.7,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  17.1,22,  21.0, 999.9,   92.7*,  77.2*, 0.00I,999.9, 000000,
997338,99999, 20050625,   77.2,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.8,22,  15.0, 999.9,   92.1*,  70.3*, 0.00I,999.9, 000000,
997338,99999, 20050626,   70.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.7,24,  21.0, 999.9,   73.9*,  67.8*, 0.00I,999.9, 000000,
